id,name,code
100001,Andhra Pradesh,AP
100002,Arunachal Pradesh,AR
100003,Assam,AS
100004,Bihar,BR
100005,Chhattisgarh,CG
100006,Goa,GA
100007,Gujarat,GJ
100008,Haryana,HR
100009,Himachal Pradesh,HP
100010,Jharkhand,JH
100011,Karnataka,KA
100012,Kerala,KL
100013,Madhya Pradesh,MP
100014,Maharashtra,MH
100015,Manipur,MN
100016,Meghalaya,ML
100017,Mizoram,MZ
100018,Nagaland,NL
100019,Odisha,OD
100020,Punjab,PB
100021,Rajasthan,RJ
100022,Sikkim,SK
100023,Tamil Nadu,TN
100024,Telangana,TS
100025,Tripura,TR
100026,Uttar Pradesh,UP
100027,Uttarakhand,UK
100028,West Bengal,WB
